naslov,podnaslov,placa,lokacija,opis,stevilo_mest,trajanje,delovnik,sifra,narava_dela
MONTAŽA,DELO NA TERENU,"10,00 €/h neto",MARIBOR Z OKOLICO,"Postavitve ozvočenja, odrov in tehnike za koncerte in prireditve (montaža). Pogoj je starost nad 18 let. Zaželen je izpit B kategorije. Plačilo je po projektu. Prijave sprejemajo na e-mail.", 3 , PO DOGOVORU , Med vikendom, 308910 , začasno in občasno delo
STREŽBA HRANE IN PIJAČE,,"4,50 €/h neto",PTUJ,"Podjetje potrebuje polnoletni, vestni in komunikativni osebi za delo in pomoč v strežbi hrane in pijač. Pogoj; izkušnje pri podobnih delih. Delo poteka v dopoldankem in popoldanskem času, prav tako ob vikendih, po dogovoru in potrebi. Interesenti naj pokličejo na kontakt podjetja.", 2 ," DLJE ČASA (OBČASNO), PO POTREBI ", Izmensko, 308909 , začasno in občasno delo
PROMOCIJA,,"5,49 €/h neto",MARIBOR,"Podjetje išče osebo za promocijo izdelka na športnih in ostalih dogodkih. Prednost imajo kandidati/ke dodiplomskega študija. Urnik dela je znan za mesec dni vnaprej in je fleksibilen. Delo poteka vsaj 7 krat na mesec. Uporablja se službeno vozilo. Pogoji: izpit B kategorije, družabnost in tekoče znanje slovenskega jezika. Pošlji CV na mail.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 308906 , začasno in občasno delo
POMOČ PRI PRODAJI,,"4,50 €/h neto",MARIBOR,"Podjetje išče komunikativni in vedoželjni osebi za delo v knjigarni. Delo poteka 2- ali 3-krat na teden in vsako drugo nedeljo.  Pogoj je starost nad 20 let. V kolikor si želite delati v prijetnem kolektivu, pošljite kratek življenjepis na e-mail s pripisom: MARIBOR.", 3 , DLJE ČASA (OBČASNO) , Izmensko, 308904 , začasno in občasno delo
POMOČ PRI PRODAJI,,"4,50 €/h neto",KOPER,"Podjetje išče komunikativni in vedoželjni osebi za delo v knjigarni. Delo poteka 2- ali 3-krat na teden in vsako tretjo nedeljo. V kolikor si želite delati v prijetnem kolektivu, pošljite kratek življenjepis na e-mail s pripisom: KOPER.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 308903 , začasno in občasno delo
ADMINISTRATIVNA DELA,,"5,00 €/h neto",LJUBLJANA,"Delo v podjetju, ki se ukvarja z letalskimi prevozi. Delo v administraciji, delo s strankami, planiranje, trženje, urejanje letalske dokumentacije in priprava letal. Zahtevano je znanje angleškega jezika in osnovna računalniška znanja. Oseba mora biti zanesljiva, natančna. Prijave s svojim CV-jem pošljite po e-pošti.", 1 , DLJE ČASA (OBČASNO)/2-3X NA TEDEN , Dopoldan, 308902 , začasno in občasno delo
MARKETING,ASISTENT,"5,50 €/h neto",KAMNIK,"Iščejo asistenta v marketingu za italijanski trg. Ali imaš - visoko motivacijo in strast do prevajanja, družbenih omrežij in online oglaševanja? Odlično pisno in ustno znanje italijanskega jezika (C1 ali C2)? Smisel za pripravo vizualnih in tekstovnih oglasov? Kreativno žilico in smisel za postavljanje celovitih digitalnih kampanj? V tem primeru pošlji CV na e-naslov.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 308901 , začasno in občasno delo
KLICNI CENTER,,"6,00 €/h neto",KAMNIK,"Potrebujejo osebo z odličnim znanjem italijanskega jezika (pisno in govorno) za delo v oddelku za podporo uporabnikom. Imate prijeten glas, občutek za ljudi, odlične komunikacijske sposobnosti in sposobnost prilagajanja komunikacijskemu nivoju stranke? V tem primeru jim pošljite CV na e-naslov. Ponujajo delo v prijetnem in urejenem kolektivu.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 308900 , začasno in občasno delo
POMOČ V STREŽBI,,"4,65 €/h neto",ŽIROVNICA,"Plačilo je od 5,5 do 7,5 € bruto/h. Pogoj je starost nad 18 let.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 308899 , začasno in občasno delo
POMOČ PRI PRODAJI,,"4,22 €/h neto",DOB,Pomoč pri prodaji obutve. Pogoj je starost nad 18 let. Prijavo s kontaktnimi podatki pošljite na e-mail., 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 308898 , začasno in občasno delo
ADMINISTRATIVNA DELA,,"4,23 €/h neto",POSLOVALNICA TREBNJE,"Banka išče študenta/študentko za pregled, urejanje in skeniranje dokumentacije v poslovalnici. Pričetek dela čim prej. Pošljite CV na naveden elektronski naslov (+št. oglasa)..", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 308896 , začasno in občasno delo
BLAGAJNIK,,"5,80 €/h neto",LJUBLJANA,"Mednarodna trgovska veriga potrebuje polnoletno osebo za delo na blagajni in pomoč v trgovini. Ob nedeljah in praznikih je bruto urna postavka 9,18 €.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 308895 , začasno in občasno delo
STREŽBA,,"5,50 €/h neto",LJUBLJANA CENTER,Potrebujejo polnoletno osebo za strežbo pijače in hrane. Izkušnje so zaželene., 1 , DLJE ČASA (OBČASNO) , Izmensko, 308894 , začasno in občasno delo
BLAGAJNIK,,"5,07 €/h neto",LJUBLJANA FUŽINE,"Podjetje išče urejeno, komunikativno in zanesljivo polnoletno osebo za blagajniško poslovanje. Prednost imajo osebe z že pridobljenimi izkušnjami pri tovrstnem delu. Prijave s CV-jem in opisom izkušenj sprejemajo na e-mail, s pripisom v zadevi: Razpis študenta/ke za delo v Ljubljani Fužine.", 2 , DLJE ČASA (OBČASNO) , Dopoldan, 308893 , začasno in občasno delo
