naslov,podnaslov,placa,lokacija,opis,stevilo_mest,trajanje,delovnik,sifra,narava_dela 
STREŽBA,,"4,23 €/h neto",VRHNIKA,"Podjetje potrebuje polnoletno, prijazno osebo za delo v šanku.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 306129 , začasno in občasno delo
TELEFONIST,,"5,50 €/h neto", LJUBLJANA BTC,"Ekološko naravnana podružnica italijanske multinacionalke zaradi širitve ponuja možnost dela študentom v večjem klicnem centru. Pogoji za delo so komunikativnost, veselje do dela s strankami, urejenost in pozitivna naravnanost. Izkušnje zaželene, ob fiksnem plačilu stimulacija.", 3 , DLJE ČASA (OBČASNO) , Dopoldan, 306128 , začasno in občasno delo
STREŽBA,,"5,07 €/h neto",VRHNIKA,"Podjetje potrebuje osebo, staro nad 20 let, za delo v strežbi. Fleksibilen delovnik.", 2 , DLJE ČASA (OBČASNO) , Popoldan, 306127 , začasno in občasno delo
POMOČ PRI PRODAJI,,"4,50 €/h neto",LJUBLJANA,"Samostojna prodaja v trafiki (prodajalna; ne kiosk). Delo po dogovoru,  večinoma dopoldan. Zahteva se resnost in zanesljivost.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 306120 , začasno in občasno delo
RAZVOZ,,"5,00 €/h neto",LJUBLJANA,"Postani sam svoj šef, postani samostojni dostavljalec hrane na kolesu. Prilagodljiv urnik, svoboda in super ekipa. To je le nekaj prednosti, ki jih to  delo omogoča. Urnik in količino dela si prilagajaš sam, podjetje poskrbi le za nemoten proces dela prek njihove podporne službe, ki ti je vedno na voljo. Pogoji: starost +18, lastno kolo, android telefon, vljudnost in veselje do dela z ljudmi. Plačilo je sestavljeno iz urne postavke ter dodatkov.", 6 , DLJE ČASA (OBČASNO) , Po dogovoru, 306105 , začasno in občasno delo
STREŽBA,,"6,00 €/h neto",MARIBOR,"Strežba v kavarni. Pogoj je starost nad 20 let. Zaželene so izkušnje za samostojno delo. Delovni čas je po dogovoru. Pričetek dela je takoj, za dlje časa (občasno).", 2 , DLJE ČASA (OBČASNO) , Popoldan, 306104 , začasno in občasno delo
DELO V PROIZVODNJI,,"4,90 €/h neto",VRHNIKA,"Podjetje potrebuje polnoletno osebo za delo v proizvodnji pekovskih izdelkov (oblikovanje testa, pakiranje kruha). Možnost redne zaposlitve. Pošlji prijavo s kontaktnimi podatki na email.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 306103 , začasno in občasno delo
POMOČ V KUHINJI,,"4,80 €/h neto",KRANJ,"Priprava hrane v kuhinji (burgerji, palačinke, pice, tortilije itd.), sčasoma tudi pomoč pri delu v trgovini in na blagajni. Pogoji: starost nad 18 let, natančnost in urejenost. Če si poln/a pozitivne energije in delovnega zagona pokliči ali se prijavi na e-mail.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 306101 , začasno in občasno delo
ANKETIRANJE PO TELEFONU,,"5,00 €/h neto",LJUBLJANA ŠIŠKA,"Podjetje išče več dinamičnih, komunikativnih ter zanesljivih oseb za delo v klicnem centru za dlje časa. Opravljajo se kratke ekološke ankete po telefonu (ni prodaja). Delo poteka med tednom. Za prijavo ali več informacij pošljite e-mail z vašim kontaktom.", 3 , DLJE ČASA (OBČASNO) , Dopoldan, 306099 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",APAČE PRI KIDRIČEVEM,"Podjetje potrebuje polnoletni, vestni in komunikativni osebi za strežbo v prijetnem lokalu. Odpiralni čas je od 7. do 19. ure, delovni čas pa v dopoldanskem in popoldanskem času,  oz. po potrebi in dogovoru. Interesenti naj pokličejo ali napišejo vlogo na kontakt podjetja.", 2 ," DLJE ČASA (OBČASNO), PO POTREBI ", Po dogovoru, 306097 , začasno in občasno delo
STREŽBA,,"5,20 €/h neto",LJUBLJANA CENTER,Potrebujejo več polnoletnih oseb za delo v strežbi restavracije. Plačilo redno. Urnik je prilagodljiv. Pokličite jih., 3 , DLJE ČASA (OBČASNO) , Dopoldan, 306096 , začasno in občasno delo
POMOČ V STREŽBI,,"5,00 €/h neto",LJUBLJANA CENTER,"Delo v prijetnem lokalu (nova odprta franšiza) s take away konceptom. Lokal je odprt od 11.30 do 21.30, za delovni čas se lahko dogovoriš. Pogoj je starost nad 18 let. Pokliči ali pošlji prijavo na e-naslov.", 2 , DLJE ČASA (OBČASNO) , vseeno, 306092 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",LJUBLJANA CENTER,Za delo strežbe potrebujejo pridno in zanesljivo osebo. Pogoj je starost nad 18 let., 1 , DLJE ČASA (OBČASNO) , Izmensko, 306087 , začasno in občasno delo
PRODAJA,,"5,00 €/h neto",KRANJ,"Mednarodno podjetje z več kot 25 letno tradicijo, ki trži priznane blagovne znamke, išče osebo za delo v trgovini (prodaja in skrb za urejenost trgovine). Pogoj je polnoletnost. Izkušnje z delom v trgovini so prednost. Urna postavka za nedelje je 7,10 € bruto (6 € neto).", 1 , PO DOGOVORU , Po dogovoru, 306086 , začasno in občasno delo
STREŽBA,,"6,50 €/h neto",LJUBLJANA MOSTE,"Strežba kave in pijač v baru s prijetnim ambientom. Delo vedno poteka v timu, urnik pa je prilagodljiv. Pogoji: starost nad 19 let in odgovornost. Izkušnje so zaželene. Kasneje tudi možnost redne zaposlitve.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 306081 , začasno in občasno delo
PREDAVANJE,,"12,00 €/h neto",LJUBLJANA,"Iščejo predavatelja Microsoft Office programov predvsem Excela in Outlooka. Želeno je odlično znanje zgornjih dveh programov. Znanje Worda, PowerPointa in Accessa je dodatna prednost. Življenjepis pošljite po elektronski pošti.", 1 ," OBČASNO, PO DOGOVORU ", Dopoldan, 306077 , začasno in občasno delo
DELO V PROIZVODNJI,DELO V PEKARNI,"4,13 €/h neto",ŠKOFJA LOKA,Podjetje išče kandidata za lažja dela v proizvodnji (izdelava rogljičkov)., 1 , PO DOGOVORU , Dopoldan, 306073 , začasno in občasno delo
TRŽENJE,,"4,13 €/h neto",MARIBOR,"Podjetje potrebuje komunikativno, vztrajno, vestno in ambiciozno osebo za pomoč v trženju in klicanju strank.  Delo obsega dogovarjanje terminov, organizacijo dela ter pisanje poročil. Ob fiksni urni postavki nudijo tudi stimulacijo za dobro opravljeno delo. Interesenti naj pošljejo svoje prijave in življenjepis na elektronski naslov podjetja.", 1 , PO DOGOVORU , Po dogovoru, 306064 , začasno in občasno delo
FIGURANT,,"5,13 €/h neto",LJUBLJANA,"Geodetsko podjetje išče študenta/ko za pomoč pri urejanju tehnične dokumentacije in terenskih meritvah. Za delo naj se prijavijo osebe, ki študirajo geodezijo ali kakšno drugo tehnično smer.", 4 , DLJE ČASA (OBČASNO) , Dopoldan, 306061 , začasno in občasno delo
DELO V PEKARNI,,"5,50 €/h neto",ŠMARCA,"Podjetje potrebuje natančne, vestne in zanesljive osebe za pomoč pri rezanju in pakiranju kruha ter pekovskih izdelkov. Pričetek dela: čim prej. Dela se v popoldanskem času po 18. uri od ned. do čet. Interesenti naj pokličejo na kontakt podjetja.", 2 , DLJE ČASA (OBČASNO) , Popoldan, 306053 , začasno in občasno delo
BLAGAJNIK,,"5,00 €/h neto",LJUBLJANA,"Mednarodna znamka nove generacije, ki hitro raste, išče zaposlene ki si želijo uspešne kariere. Iščejo prijazne, zanesljive, odgovorne in motivirane zaposlene za delo na blagajni  ter z možnostjo napredovanja do managerja izmene. Izkušnje niso pomembne, pomembno je, da ste delovni in znanja željni. Uvajalna urna postavka je 4,97 € bruto, v nadaljevanju pa od 5,92 € bruto do 7,10 € bruto.", 5 , PO DOGOVORU , Izmensko, 306052 , začasno in občasno delo
ANKETIRANJE PO TELEFONU,KLICNI CENTER,"4,13 €/h neto",CELJE,"Podjetje nudi delo trem pridnim osebam za klicanje strank in izvajanje kratkih anket/raziskav v klicnem centru. Iščejo zanesljive, ažurne in pozitivne ljudi. Delo poteka dopoldan in popoldan. Izkušnje niso pogoj.", 3 , DLJE ČASA (OBČASNO) , Izmensko, 306051 , začasno in občasno delo
STREŽBA,,"5,50 €/h neto",ŠENTJUR,Kavarna išče pomoč za delo v strežbi. Pogoj je polnoletnost. Predhodne izkušnje so zaželene. Delo poteka izmensko in med vikendi. Za vse dodatne informacije jih pokličite ali jim pišite na e-mail. V prijaznem in sproščenem kolektivu vas z veseljem pričakujejo., 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 306050 , začasno in občasno delo
STREŽBA,,"6,76 €/h neto",LJUBLJANA CENTER,"V kavarnici iščejo osebo za delo vodje izmene. Pogoji dela: minimalno 4 leta izkušenj (strežba hrane in pijače, delo v restavraciji).Šola za gostinstvo je prednost. Poznavanje bontona, urejenost, organiziranost, točnost in natančnost, poznavanje osnov HACCP sistema, veliko prostega časa in veselje do dela. Nudijo:redno plačilo in dodatno stimulacijo. Možnost kasnejše redne zaposlitve.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 306047 , začasno in občasno delo
POMOČ V STREŽBI,,"5,24 €/h neto",LJUBLJANA CENTER,"Iščejo šankista za delo v kavarni. Pogoj je znanje latte arta ali mešanje koktailov. Dela se dvakrat do trikrat na teden, po želji tudi več, za obdobje do 15. januarja. Nudijo možnost kasnejše zaposlitve, redno plačilo in prijetno delovno okolje.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 306046 , začasno in občasno delo
STREŽBA HRANE IN PIJAČE,,"5,07 €/h neto",LJUBLJANA CENTER,"V kolektiv kavarnice sprejmejo 2 natakarja/ici za strežbo hrane in pijače. Pogoj je veselje do dela, hitrost in urejenost. Minimalno 6 mesecev izkušenj. Nudijo redno in stimulativno plačilo ter možnost zaposlitve.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 306045 , začasno in občasno delo
POMOČ V STREŽBI,,"4,22 €/h neto",LJUBLJANA CENTER,"V kolektiv kavarne sprejmejo študente za pomoč v šanku. Pogoj je veselje do dela, hitrost, poznavanje lepega vedenja in urejenost. Dela se 3-4x na teden, oz. po dogovoru, za obdobje do 15. januarja. Izkušnje niso pogoj.", 3 , DLJE ČASA (OBČASNO) , Po dogovoru, 306044 , začasno in občasno delo
POMOČ V STREŽBI,,"5,00 €/h neto",MARIBOR,"Za delo v strežbi in v šanku kavarne potrebujejo dve osebi. Zaželena je urejenost in resnost. Nudijo delo 2 - 5 x na teden, po potrebi in dogovoru. Urna postavka je od 5,92 € bruto/h, če imate izkušnje je urna postavka 7,10 € bruto/h.  Prosijo za življenjepis z izkušnjami na mail.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 306042 , začasno in občasno delo
DELO NA TERENU,,"7,00 €/h neto",NA TERENU,"Iščejo odgovorno, urejeno, komunikativno, fizično močnejšo osebo oz. dve za pomoč pri razvozu božičnih dreves po Sloveniji. Pogoj je izpit B kategorije. Zaželeno poznavanje Ljubljane. Delo poteka po naprej dogovorjenih terminih, nekajkrat tedensko. Trajanje dela od okoli 20.11.2019 do 30.1.2020. Ponudbe kandidatov prejemajo na e-naslov.", 2 , DO 30.01.2020 , Izmensko, 306039 , začasno in občasno delo
STREŽBA,,"4,22 €/h neto",SLOVENSKE KONJICE,"Podjetje potrebuje polnoletno, komunikativno osebo za strežbo na bencinskem servisu. Delo poteka po dogovoru.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 306037 , začasno in občasno delo
DELO NA BENCINSKEM SERVISU,,"4,22 €/h neto",CELJE,"Podjetje potrebuje polnoletno osebo za delo na bencinskem servisu. Pogoji: lasten prevoz do delovnega mesta, prijaznost, komunikativnost in urejenost.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 306035 , začasno in občasno delo
POMOČ V STREŽBI,,"5,07 €/h neto",SLOVENSKE KONJICE,"Podjetje potrebuje polnoletno, komunikativno osebo za strežbo v kavarni. Delo poteka po dogovoru.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 306034 , začasno in občasno delo
POMOČ V TRGOVINI,,"4,65 €/h neto",GOLNIK,"Iščejo polnoletno osebo za delo na blagajni in polnjenje polic. Plačilo: med tednom 5,5 €/h bruto, ob nedeljah pa 6,5 €/h bruto.", 1 , PO DOGOVORU , Izmensko, 306012 , začasno in občasno delo
RAČUNOVODSKA DELA,,"5,00 €/h neto",LJUBLJANA VIČ,"Knjiženje, obračun plač/drugih izplačil fiz.osebam, priprava računov in davčnih poročil, komuniciranje z naročniki, idr. Pogoji: vpisana 2. bol. stop., smer računovodstvo/revizija ali druga ustr. smer, samostojnost, natančnost, pismenost, usmerjenost k strankam, znanje ang. jezika, dobro znanje orodij MS Office. Prednost: izkušnje z delom v računovodstvu, znanje programov Oppis/Pantheon, drug tuji jezik. Prijava: na mail pošljite CV in kratko motivacijsko pismo. Možnost kasnejše zaposlitve.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 306009 , začasno in občasno delo
STREŽBA,,"5,04 €/h neto",LJUBLJANA ŠIŠKA,"Podjetje išče simpatično osebo za strežbo: priprava toplih in hladnih napitkov, desertov in sendvičev. Zaželene so izkušnje iz strežbe in priprave kav. Za več informacij pokličite.", 2 , PO DOGOVORU , Dopoldan, 306007 , začasno in občasno delo
DELO V KUHINJI,,"5,49 €/h neto",LJUBLJANA,"Potrebujejo mlade ljudi, ki bi bili pripravljeni delati v catering ponudbi. Delo poteka v večini petek in sobota, včasih pa tudi med tednom. Zajema vse, od priprave surovin do končih izdelkov oziroma končne postrežbe in serviranja hrane na krožnik. Zaželeni so študenti in dijaki, ki se izobražujejo v smeri gostinstvo in turizem.", 5 , OBČASNO OB VIKENDIH IN POPOLDNEVIH , Med vikendom, 306006 , začasno in občasno delo
DELO V KUHINJI,,"5,49 €/h neto",LJUBLJANA,"Delo poteka v prijetnem kolektivu v samopstrežni restavraciji. Delo zajema vse, od priprave do končnega izdelka. Zaželeni so dijaki in študentje ki se izobražujejo v smeri gostinstvo in turizem ter jih to delo veseli.", 5 ," DLJE ČASA, PO DOGOVORU ", Dopoldan, 306004 , začasno in občasno delo
VULKANIZERSKA DELA,,"5,50 €/h neto",PRESTRANEK,"Iščejo polnoletno osebo za pomoč pri delu v vulkanizerstvu. Potrebno je veselje do dela s strankami in z avtomobili, fizična moč, komunikativnost, natančnost, vestnost, zanesljivost in fleksibilnost. Zaželen vozniški izpit B-kategorije in lasten prevoz. Delo poteka v mladi ekipi. Pokličite ali pišite za srečanje.", 1 , DO 30. 11. 2019 , Po dogovoru, 306002 , začasno in občasno delo
KLICNI CENTER,,"5,00 €/h neto",LJUBLJANA BEŽIGRAD,"Te zanima, kako poteka poslovna komunikacija? Si komunikativna, odgovorna in dosledna oseba? Potem se prijavi za delo v klicnem centru kot telefonski tržnik. Za delovni čas se dogovoriš, plačilo pa je od 5,92 do 7,10 € bruto/h. Poleg rednega plačila, samostojnosti in kreativnosti pri delu ti ponujajo možnost, da si izkušnje v poslovni komunikaciji pridobiš skozi delo.", 7 , DLJE ČASA (OBČASNO) , Izmensko, 305999 , začasno in občasno delo
PRODAJA,DELO V TRAFIKI,"5,00 €/h neto",LJUBLJANA,Prodaja v trafiki. Pogoj je starost nad 18 let., 1 , DLJE ČASA (OBČASNO) , Popoldan, 305997 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",SEVNICA,Za delo v strežbi v timu potrebujejo simpatično in komunukativno osebo. Delavnik je po dogovoru., 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 305995 , začasno in občasno delo
LAŽJA FIZIČNA DELA,POMOČ PRI MONTAŽI,"4,22 €/h neto",LITIJA + TEREN,Podjetje potrebuje osebo za pomoč pri montaži ogrevalnih naprav. Delo je terensko z nastopom v Litiji.ali okolici. Izkušnje niso potrebne. Dobro delo bo poleg urne postavke še dodatno nagrajeno., 1 , ZA CCA. 1 MESEC , Dopoldan, 305993 , začasno in občasno delo
UČITELJ SMUČANJA,,"5,00 €/h neto",VOGEL,"Podjetje išče pomočnika učitelja smučanja/deskanja. Pogoji: volja do dela z najmlajšimi, komunikativnost in osnovno znanje smučanja/deskanja.", 1 , DO 28.02.2020 , Po dogovoru, 305990 , začasno in občasno delo
UČITELJ SMUČANJA,,"5,00 €/h neto",ROGLA,"Podjetje išče pomočnika učitelja smučanja/deskanja. Pogoji: volja do dela z najmlajšimi, komunikativnost in osnovno znanje smučanja/deskanja.", 1 , DO 28.02.2020 , Po dogovoru, 305989 , začasno in občasno delo
UČITELJ SMUČANJA,,"5,00 €/h neto","SORIŠKA PLANINA, STARI VRH","Podjetje išče pomočnika učitelja smučanja/deskanja. Pogoji: volja do dela z najmlajšimi, komunikativnost in osnovno znanje smučanja/deskanja.", 1 , DO 28.02.2020 , Po dogovoru, 305988 , začasno in občasno delo
UČITELJ SMUČANJA,,"11,00 €/h neto",ROGLA,"Podjetje išče učitelja smučanja/deskanja. Pogoji: veljavna licenca SZS 19/20 (modra kartica), volja do dela in komunikativnost. Plačilo od 13,02 do 16,57 €/h bruto.", 1 , DO 28.02.2020 , Po dogovoru, 305987 , začasno in občasno delo
UČITELJ SMUČANJA,,"11,00 €/h neto","SORIŠKA PLANINA, STARI VRH","Podjetje išče učitelja smučanja/deskanja. Pogoji: veljavna licenca SZS 19/20 (modra kartica), volja do dela in komunikativnost. Plačilo od 13,02 do 16,57 €/h bruto.", 1 , DO 28.02.2020 , Po dogovoru, 305986 , začasno in občasno delo
UČITELJ SMUČANJA,,"11,00 €/h neto",VOGEL,"Podjetje išče učitelja smučanja/deskanja. Pogoji: veljavna licenca SZS 19/20 (modra kartica), volja do dela in komunikativnost. Plačilo od 13,02 do 16,57 €/h bruto.", 1 , DO 28.02.2020 , Po dogovoru, 305985 , začasno in občasno delo
LAŽJA FIZIČNA DELA,POMIVALEC,"4,13 €/h neto",LJUBLJANA,POMIVALEC posode v kava baru. Dela se samo med tednom., 1 , DLJE ČASA (OBČASNO) , Dopoldan, 305982 , začasno in občasno delo
MONTAŽA,DELO NA TERENU,"5,00 €/h neto",DRAGOMELJ IN OKOLICA,"Podjetje potrebuje fizično močni in zanesljivi osebi za delo na terenu -  montaža pohištva in regalov. Pogoji: starost nad 21 let, vozniški izpit B kategorije ter ročne spretnosti.  Plačilo znaša od 5,92 - 8,28 € bruto/h. Prijave z izkušnjami sprejemajo na e-mail.", 2 ," DLJE ČASA (OBČASNO), PO POTREBI IN DOGOVORU ", Dopoldan, 305974 , začasno in občasno delo
DELO NA TERENU,MONTAŽA,"5,00 €/h neto",PTUJ - MARIBOR,Podjetje potrebuje fizično močne osebe za dostavo in montažo kovinskega pohištva. Pogoj: starost nad 20 let. Zaželene ročne spretnosti. Prijave s kontaktnimi podatki sprejemajo na e-mail podjetja., 2 ," DLJE ČASA (OBČASNO), PO POTREBI IN DOGOVORU ", Po dogovoru, 305973 , začasno in občasno delo
MARKETING,,"5,07 €/h neto",LJUBLJANA,"Iščejo študenta/študentko za spletni marketing, pričakujejo izkušnje na področju socialnih omrežij.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 305972 , začasno in občasno delo
STREŽBA,,"5,50 €/h neto",HRUŠICA,Strežba v baru. Pogoj je starost nad 18 let., 1 , PO DOGOVORU , Izmensko, 305963 , začasno in občasno delo
POMOČ PRI PRODAJI,,PO DOGOVORU,KRANJ,Podjetje potrebuje polnoletno osebo za pomoč pri prodaji v trgovini z obutvijo. Za vse informacije se v dopoldanskem času osebno oglasite v trgovini., 5 , DLJE ČASA (OBČASNO) , Izmensko, 305955 , začasno in občasno delo
POMOČ PRI PRODAJI,,"4,48 €/h neto",KRANJ,"Najuspešnejši trgovec s tehničnim blagom vabi v svojo mlado ekipo osebo, ki bo pomemben člen pri blagajniškem poslovanju. Če že imaš izkušnje z delom na blagajni in pri prodaji najnovejših tehničnih izdelkov oziroma te takšno delo veseli, se čim prej prijavi. Plačilo je fiksno + stimulativno.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 305953 , začasno in občasno delo
POMOČ V STREŽBI,,"5,00 €/h neto",PRAGERSKO,Podjetje potrebuje več oseb za strežbo pijače., 3 , DLJE ČASA (OBČASNO) , Izmensko, 305952 , začasno in občasno delo
DELO V PROIZVODNJI,,"4,13 €/h neto",MARIBOR,"Delo v proizvodnji: lepljenje, zlaganje in pakiranje. Dela se z lahkimi kartonskimi materiali. Pogoji: starost nad 20 let, vestnost, natančnost in volja do dela.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 305951 , začasno in občasno delo
DELO NA TERENU,DOSTAVA,"5,50 €/h neto",KOPER,Podjetje išče osebo za dostavo in pomoč v skladišču. Pogoja sta starost nad 18 let in izpit B kategorije. Dela se občasno., 1 , DLJE ČASA (OBČASNO) , Dopoldan, 305948 , začasno in občasno delo
KLICNI CENTER,,"6,00 €/h neto",LJUBLJANA ČRNUČE,"Iščejo komunikativne, odgovorne in pozitivno naravnane osebe za delo v telefonskem studiu za dogovarjanje terminov. Urna postavka je lahko tudi višja, saj je možnost stimulacije. Urniki so fleksibilni. Možnost kasnejše redne zaposlitve.", 3 , DLJE ČASA (OBČASNO) , Po dogovoru, 305946 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",LJUBLJANA,"Iščejo osebo za delo v strežbi z odlično ekipo v prijetnem dnevnem baru. Začetna urna postavka je 5,92 €/h bruto, kasneje lahko tudi več, urnik je po dogovoru, izkušnje niso pogoj, so pa zaželene.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 305941 , začasno in občasno delo
PAKIRANJE,,"5,00 €/h neto",LJUBLJANA,"Podjetje išče natančno osebo za pripravo paketnih pošiljk. Delo ni fizično zahtevno, potrebna pa je natančnost. Prijavo pošljite na e-naslov.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 305933 , začasno in občasno delo
STREŽBA,,"4,22 €/h neto",MARIBOR,Lokal potrebuje osebi za strežbo., 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 305931 , začasno in občasno delo
STREŽBA HRANE IN PIJAČE,,"4,50 €/h neto",RIBNICA,"Strežba hrane in pijače. Plačilo je od 5,33 do 6,51 € bruto/h.", 3 , PO DOGOVORU , Po dogovoru, 305928 , začasno in občasno delo
STREŽBA HRANE IN PIJAČE,,"4,50 €/h neto",CERKNICA,"Strežba hrane in pijače. Plačilo je od 5,33 do 6,51 € bruto/h.", 3 , PO DOGOVORU , Po dogovoru, 305927 , začasno in občasno delo
STREŽBA HRANE IN PIJAČE,,"7,00 €/h neto",DOBENO NAD MENGŠEM,"Iščejo prijetno, komunikativno osebo za delo v strežbi. Delo poteka v urejeni in prijetni gostilni. Osnove dela v gostinstvu so obvezne. Delo je med vikendi in  po dogovoru.", 1 , DALJ ČASA OZ PO DOGOVORU , Med vikendom, 305926 , začasno in občasno delo
DELO V KUHINJI,,"6,00 €/h neto",DOBENO NAD MENGŠEM,"Pomoč pri pripravljanju hladnih in toplih jedi, sladic, pomivanje bele in črne posode. Možnost opravljanja prakse. Malica je priskrbljena.", 1 , DALJ ČASA OZ PO DOGOVORU , Med vikendom, 305923 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",SPODNJI KLJUČAROVCI,Podjetje potrebuje osebo za strežbo v lokalu. Pogoj je starost nad 18 let., 3 , DLJE ČASA (OBČASNO) , Izmensko, 305919 , začasno in občasno delo
POMOČ V TRGOVINI,,"4,13 €/h neto",LJUBLJANA,"Pomoč v trgovini, zlaganje artiklov na police, skrb za estetski in urejen videz trgovine, pomoč strankam, delo na blagajni, prevzem robe v skladišču. Dela se v prijetnem kolektivu.", 5 , PO DOGOVORU , Po dogovoru, 305917 , začasno in občasno delo
DELO V KUHINJI,PRIPRAVA HRANE,"6,00 €/h neto",LJUBLJANA,"Če si jutranja oseba, ki rada dela s hrano, te podjetje vabi na delo v kuhinji - priprava sendvičev in pomoč pri ostalih opravilih. Za malico je preskrbljeno, nudijo pa tudi možnost opravljanja prakse.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 305915 , začasno in občasno delo
POMOČ V TRGOVINI,,"4,13 €/h neto",KRANJ,"Pomoč v trgovini, zlaganje artiklov na police, skrb za estetski in urejen videz trgovine, pomoč strankam, delo na blagajni, prevzem robe v skladišču. Dela se v prijetnem kolektivu.", 5 , PO DOGOVORU , Po dogovoru, 305906 , začasno in občasno delo
POMOČ V TRGOVINI,,"4,13 €/h neto",KOPER,"Pomoč v trgovini, zlaganje artiklov na police, skrb za estetski in urejen videz trgovine, pomoč strankam, delo na blagajni, prevzem robe v skladišču. Dela se v prijetnem kolektivu.", 5 , PO DOGOVORU , Po dogovoru, 305905 , začasno in občasno delo
POMOČ V TRGOVINI,,"4,13 €/h neto",SEŽANA,"Pomoč v trgovini, zlaganje artiklov na police, skrb za estetski in urejen videz trgovine, pomoč strankam, delo na blagajni, prevzem robe v skladišču. Dela se v prijetnem kolektivu.", 5 , PO DOGOVORU , Po dogovoru, 305904 , začasno in občasno delo
STREŽBA HRANE IN PIJAČE,,"4,50 €/h neto",SODRAŽICA,"Strežba hrane in pijače. Plačilo je od 5,33 do 6,51 € bruto/h.", 3 , PO DOGOVORU , Po dogovoru, 305902 , začasno in občasno delo
POMOČ V TRGOVINI,,"4,13 €/h neto",KRANJ,"Pomoč v trgovini, zlaganje artiklov na police, skrb za estetski in urejen videz trgovine, pomoč strankam, delo na blagajni, prevzem robe v skladišču. Dela se v prijetnem kolektivu.", 5 , PO DOGOVORU , Po dogovoru, 305901 , začasno in občasno delo
PROMOCIJA,,"4,50 €/h neto",LJUBLJANA BTC,"Promocija naravne slovenske kozmetike in čistil. Zaželene so izkušnje s promocijskim delom, niso pa pogoj. Pogoj je energičnost, zanesljivost, komunikativnost, samoiniciativnost in nasmejanost. Delo poteka po dogovoru. Prijave skupaj z življenjepisom pošljite na elektronski naslov.", 3 , DLJE ČASA (OBČASNO) , Po dogovoru, 305890 , začasno in občasno delo
POMOČ V TRGOVINI,,"4,17 €/h neto",LJUBLJANA,"Podjetje potrebuje polnoletne osebe za pomoč v trgovini (pomoč pri prevzemanju robe, menjavi kolekcij, polnjenje trgovine, delo z računalnikom) . Pogoji: natančnost, zanesljivost, hitro učenje, prilagodljivost.", 2 , DLJE ČASA , Izmensko, 305887 , začasno in občasno delo
STREŽBA,,"4,22 €/h neto",ŠENTJUR,Kavarna išče komunikativno osebo za pomoč pri strežbi pijač. Zaželene so izkušnje., 1 , DLJE ČASA (OBČASNO) , Izmensko, 305872 , začasno in občasno delo
DELO NA BENCINSKEM SERVISU,,"4,22 €/h neto",MARIBOR,"Za delo na bencinskem servisu potrebujejo komunikativno, prijazno osebo z veseljem do dela s strankami. Obsega delo na blagajni, prodajo, čiščenje, delo v avtomatski avtopralnici, promocija... Kolektiv je mlad in pozitivno naravnan.", 1 , PO DOGOVORU , Izmensko, 305870 , začasno in občasno delo
RAZVOZ,,"5,00 €/h neto",LJUBLJANA,"Si želiš združiti šport in delo na prostem? Postani samostojni dostavljalec hrane na kolesu. Ponujajo prilagodljiv urnik in super ekipo. To je le nekaj prednosti, ki jih to delo omogoča. Urnik in količino dela si prilagajaš sam, delo je zaželeno predvsem preko vikendov. Pogoji: starost na 18 let, lastno kolo ali skuter in veselje do dela z ljudmi. Če želiš osvojiti Ljubljano na kolesu pošlji prijavo na email.", 3 , DLJE ČASA (OBČASNO) , Med vikendom, 305869 , začasno in občasno delo
ČIŠČENJE,,"5,00 €/h neto",KRANJ,"Potrebujejo polnoletno osebo za čiščenje, enkrat tedensko, fleksibilen urnik.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 305868 , začasno in občasno delo
DELO V AVTOPRALNICI,,"5,00 €/h neto",MARIBOR TEZNO,"Potrebujejo polnoletno osebo za samostojno delo v avtomatski avtopralnici (predpranje z vapom). Dela se tudi na blagajni in z denarjem. Pogoji: komunikativnost, samostojnost in poštenost.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 305865 , začasno in občasno delo
