naslov,lokacija,stevilo_mest,delovnik,narava_dela,sifra,trajanje,naslov,podnaslov,opis,placa
ADMINISTRATIVNA DELA,LJUBLJANA, 1 , Dopoldan, začasno in občasno delo, 308890 , DLJE ČASA (OBČASNO) ,ADMINISTRATIVNA DELA,STROKOVNA ADMIN. DELA,"Farmacevtsko podjetje potrebuje polnoletno osebo za pomoč pri operativno/administrativnih delih (organizacija sestankov, komunikacija z vodji, pomoč kadrovski službi, priprava poročil). Prednost kandidati s poznavanjem SAP-a. Dopoldanski delovnik. Urna postavka od 5 do 6 € bruto (odvisno od predznanja, motivacije). Prijavo s CV-jem pošljte na e-naslov (obvezen pripis šifra dela).","4,22 €/h neto"
PRODAJA,LJUBLJANA, 1 , Med vikendom, začasno in občasno delo, 308889 , DLJE ČASA (OBČASNO) ,PRODAJA,,Podjetje išče vestno in komunikativno osebo za prodajo bio izdelkov na tržnici (v notranjih prostorih). Delo poteka le ob sobotah v dopoldanskem času.,"5,00 €/h neto"
ADMINISTRATIVNA DELA,LJUBLJANA, 1 , Dopoldan, začasno in občasno delo, 308888 , DLJE ČASA (OBČASNO) ,ADMINISTRATIVNA DELA,STROKOVNA ADMIN. DELA,"Farmacevtsko podjetje potrebuje polnoletno osebo za pomoč na globalnem projektu podjetja (opravljanje analiz, razna administrativna dela). Pogoj. odlično - napredno znanje Excela ter odlično znanje angleškeja jezika. Urna potavka od 5 do 6 € bruto (odvisno od predznanja, motivacije). Možnost kasnejše redne zaposlitve. Prjavo s CV pošljite na e-naslov (pripišite še šifro dela).","4,22 €/h neto"
PRODAJA,LJUBLJANA, 1 , Izmensko, začasno in občasno delo, 308887 , DLJE ČASA (OBČASNO) ,PRODAJA,,Iščejo osebo za prodajo hrane. Zaželene izkušnje. Delovni čas po dogovoru.,"5,00 €/h neto"
BLAGAJNIK,LUCIJA, 4 , Izmensko, začasno in občasno delo, 308886 , DLJE ČASA (OBČASNO) ,BLAGAJNIK,DELO V TRGOVINI,Podjetje išče več oseb za delo v trgovini in za delo na blagajni. Pogoj je starost nad 18 let. Nedelje plačane 8 €/h bruto.,"5,07 €/h neto"
DELO NA SEJMU,LJUBLJANA CENTER, 1 , Po dogovoru, začasno in občasno delo, 308885 , DO 05.01.2020 ,DELO NA SEJMU,,"Podjetje išče študente/ke za delo na novoletnem sejmu. Pogoji: pozitivnost, volja do dela in znanje angleškega jezika (zaželeno tudi italijnskega, a ni pogoj). Urnik prilagodljiv. Redno plačilo in možnost stimulacije. Prijave sprejemajo na e-mail.","5,00 €/h neto"
POMOČ V STREŽBI,LJUBLJANA, 2 , Izmensko, začasno in občasno delo, 308884 , DLJE ČASA (OBČASNO) ,POMOČ V STREŽBI,,Iščejo osebo za pomoč v strežbi. Zaželene izkušnje. Delovni čas po dogovoru.,"5,00 €/h neto"
BLAGAJNIK,LJUBLJANA, 5 , Izmensko, začasno in občasno delo, 308882 , DLJE ČASA (OBČASNO) ,BLAGAJNIK,,Trgovsko podjetje išče polnoletne kandidate za delo na blagajni v trgovskem centru. Fleksibilen delovnik.,"5,07 €/h neto"
PAKIRANJE,LJUBLJANA, 1 , Dopoldan, začasno in občasno delo, 308881 , DLJE ČASA (OBČASNO) ,PAKIRANJE,,"Farmacevtsko podjetje potrebuje polnoletno osebo za pomoč v pakirnici trdnih izdelkov (pomoč na ročni liniji, pomoč pri sprejemu novo zaposlenih, skrb za zaloge proizvodne opreme). Delo poteka v dopoldanski izmeni. Začetna urna postavka je 5,5 € bruto.¨Prijavo s CV pošljite na e-naslov.","4,65 €/h neto"
MODEL,LJUBLJANA -  PO SLOVENIJI, 2 , Po dogovoru, začasno in občasno delo, 308880 , DLJE ČASA (OBČASNO) ,MODEL,,Potrebujejo dve polnoletni osebi za snemanje (video in foto) materiala različnih blagovnih znamk. Organiziran prevoz iz Ljubljane. Kratko prijavo s kontakntno številko pošlji na mail.,PO DOGOVORU
