naslov,lokacija,stevilo_mest,delovnik,narava_dela,sifra,trajanje,naslov,podnaslov,opis,placa 
BLAGAJNIK,KRANJ, 1 , Po dogovoru, začasno in občasno delo, 305218 , DLJE ČASA (OBČASNO) ,BLAGAJNIK,POLNJENJE POLIC,"Podjetje potrebuje polnoletne osebe za delo na blagajni in za polnjenje polic v manjših prodajalnah v Kranju. Nedeljsko delo je plačano 6,5 €/h bruto.","4,65 €/h neto"
DELO NA TERENU,MEDVODE IN OKOLICA, 1 , Izmensko, začasno in občasno delo, 305208 , DLJE ČASA (OBČASNO) ,DELO NA TERENU,RAZVOZ HRANE,"RAZVOZ HRANE. Pogoja: starost nad 18 let in izpit B kategorije. Zaželena natančnost, iznajdljivost, odgovornost in hitrost pri delu. Zagotovljena malica.","5,00 €/h neto"
DELO NA RECEPCIJI,LJUBLJANA -  ŠENTVID (MEDNO), 1 , Izmensko, začasno in občasno delo, 305203 , PO DOGOVORU ,DELO NA RECEPCIJI,,"Potrebujejo polnoletnega kandidata za delo nočnega receptorja. Zaželene izkušnje, znanje pogovornega angleškega jezika, zanesljivost, urejenost in prijaznost. Delo poteka tudi med vikendi. Prijave sprejemajo na elektronski naslov ali po telefonu.","4,50 €/h neto"
DELO NA RECEPCIJI,LJUBLJANA- ŠENTVID (MEDNO), 1 , Izmensko, začasno in občasno delo, 305202 , PO DOGOVORU ,DELO NA RECEPCIJI,,"Podjetje potrebuje polnoletno osebo za delo na recepciji in pomoč pri čiščenju hotelskih sob. Pogoji: znanje pogovornega angleškega jezika, zanesljivost, urejenost, odgovornost in prijaznost. Fleksibilen urnik. Delo je izmensko in tudi med vikendom. Prijave sprejemajo na elektronski naslov ali po telefonu.","4,50 €/h neto"
POMOČ PRI PRODAJI,KRANJ, 1 , Po dogovoru, začasno in občasno delo, 305196 , DLJE ČASA (OBČASNO) ,POMOČ PRI PRODAJI,,Podjetje išče polnoletne osebe za delo v prodajalni bencinskega servisa. Skrbi se za red in čistočo ter založenost polic.,"4,50 €/h neto"
PRODAJA,POSTOJNA, 1 , Po dogovoru, začasno in občasno delo, 305184 , DLJE ČASA (OBČASNO) ,PRODAJA,,"Iščejo zanesljivo, pridno, komunikativno, delovno osebo za samostojno svetovanje pri prodaji vrhunskega nakita in ur. 

Pogoji: starost nad 19 let, izkušnje v prodaji, znanje angleškega jezika ter računalniška pismenost.","4,50 €/h neto"
PROMOCIJA,MARIBOR, 10 , Po dogovoru, začasno in občasno delo, 305181 , DLJE ČASA (OBČASNO) ,PROMOCIJA,,"Komuniciranje s potencialnimi strankami, študent/ka ekonomske ali pravne smeri. Delo poteka na podjetju in na terenu, načeloma vsak dan, po potrebi in dogovoru. Prijavo s Cv -jem pošljite na email naslov. Pogoj je starost nad 20 let.","10,00 €/h neto"
PRAVNE STORITVE,TEPANJE ALI SLOVENSKE KONJICE, 2 , dopoldan, začasno in občasno delo, 305179 , PO DOGOVORU ,PRAVNE STORITVE,,"Iščejo polnoletno osebo za pomoč pri pravnih storitvah. Pogoji: visoko povprečje ocen pri študiju, odlično znanje slovenskega jezika, vozniški izpit B kategorije in ustrezne komunikacijske sposobnosti. Zaželeno je dobro znanje tujih jezikov (angleščina, nemščina), znanje uporabe MS Office in študij magistrskega študijskega programa (prava).",PO DOGOVORU
DELO V KUHINJI,LJUBLJANA, 1 , Po dogovoru, začasno in občasno delo, 305174 , DLJE ČASA (OBČASNO) ,DELO V KUHINJI,,Iščejo osebo za delo v kuhinji. Potrebne so izkušnje.,PO DOGOVORU
DELO NA RECEPCIJI,LJUBLJANA, 1 , Izmensko, začasno in občasno delo, 305171 , DLJE ČASA (OBČASNO) ,DELO NA RECEPCIJI,,"Delo na recepciji hotela. Poleg slovenskega obvezno znanje vsaj angleškega jezika, prijaznost, komunikativnost, samoiniciativnost, urejenost.","4,13 €/h neto"
PROJEKTIRANJE,LJUBLJANA, 2 , Po dogovoru, začasno in občasno delo, 305166 , DLJE ČASA (OBČASNO) ,PROJEKTIRANJE,,"Iščejo študente zaključnih letnikov arhitekture z izkušnjami iz projektiranja notranje opreme, osvetlitve prostorov in vodenja projektov. Pričakujejo komunikativnost, ambicioznost, vestnost, samoinciativnost, natančnost, dobro organiziranost in hitrost v izvajanju zastavljenih nalog. Zaželeno znanje ANG. pisno in govorno ter znanje programov: Acad 2D in 3D ali kateri drugi 3D program.","4,13 €/h neto"
PAKIRANJE,MIKLAVŽ NA DRAVSKEM POLJU, 1 , Dopoldan, začasno in občasno delo, 305173 , DLJE ČASA (OBČASNO) ,PAKIRANJE,LAŽJA FIZIČNA DELA,"Podjetje potrebuje polnoletno osebo za pakiranje izdelkov, prodanih preko spletne trgovine. Delovni čas pisarne je od ponedeljka do petka od 6. ure dalje, dela se po potrebi in dogovoru, dlje časa, v dopoldanskem času. Za prijavo pokličite na kontakt podjetja.","4,22 €/h neto"
STREŽBA,BLED, 2 , Po dogovoru, začasno in občasno delo, 305154 , DLJE ČASA (OBČASNO) ,STREŽBA,,Delo v strežbi v hotelu.,"5,50 €/h neto"
INFORMATIKA,BLED, 1 , Po dogovoru, začasno in občasno delo, 305145 , OBDOBJE ENEGA LETA (LAHKO TUDI DALJ ČASA) ,INFORMATIKA,,Delo v informatiki. Na razpisano delovno mesto želijo zaposliti informatika - absolventa ali študenta višjega letnika. Plača se tudi prevoz in malica.,"5,07 €/h neto"
STREŽBA,ŽABNICA, 2 , Izmensko, začasno in občasno delo, 305144 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Podjetje išče simpatične in komunikativne osebe, ki jim delo z ljudmi ni odveč. Od člana pričakujejo odlično znanje slovenskega jezika ter osnovno poznavanje računanja (delo z denarjem). Izkušnje s strežbo zaželene, niso pa pogoj. Objavljena je začetna urna postavka, ob uspešnosti se urna postavka dvigne. Delovnik izmenski,  po dogovoru s podjetjem.","5,00 €/h neto"
POMOČ PRI PRODAJI,CELJE, 2 , Izmensko, začasno in občasno delo, 305136 ," DLJE ČASA (OBČASNO), PO POTREBI IN DOGOVORU ",POMOČ PRI PRODAJI,,"Podjetje potrebuje polnoletno, vestno, zanesljivo in komunikativno osebo za pomoč pri prodaji obutve. Delovnik je v dopoldanskem in popoldanskem času, oz. po dogovoru in potrebi. Interesenti naj pokličejo na kontakt podjetja.","4,22 €/h neto"
DELO V SKLADIŠČU,IG, 4 , dopoldan, začasno in občasno delo, 305135 , DO 30.10.2019 ,DELO V SKLADIŠČU,,Podjetje potrebuje polnoletno osebo za delo v skladišču. Poleg urne postavke pripada kandidatu še malica. Dostop do kraja dela z mestnim avtobusom 19I. Dopoldanski delovnik.,"5,00 €/h neto"
STREŽBA,LJUBLJANA BEŽIGRAD, 2 , Dopoldan, začasno in občasno delo, 305123 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Potrebujejo izkušeni osebi za delo v strežbi. Delo poteka pretežno v dopoldanskem času, občasno tudi v popoldanskem - po dogovoru. Kavarna obratuje do 22. ure. Urna postavka se giblje med 6 - 7 €/h bruto. Vikendi in prazniki so prosti, dela se eno soboto na mesec v dopoldanskem času.","5,07 €/h neto"
DELO V KUHINJI,RADOMLJE, 1 , Po dogovoru, začasno in občasno delo, 305121 , DLJE ČASA (OBČASNO) ,DELO V KUHINJI,,"Podjetje išče osebo za pomoč v kuhinji. Pogoja: veselje do dela v kuhinji, poznavanje Haccp načel. Zaželena je smer gastronomije - smer kuhar (ni pa pogoj). Delo poteka večino časa v kuhinji, občasno je možno tudi delo na terenu. Pridnost je nagrajena z višjo urno postavko. Najbolje je, da si iz okolice Domžal, Kamnika ali Mengša. Če te delo zanima, pokliči ali pošlji prijavo na e-naslov.","5,50 €/h neto"
POMOČ V STREŽBI,LJUBLJANA CENTER, 1 , Med vikendom, začasno in občasno delo, 305115 , DLJE ČASA (OBČASNO) ,POMOČ V STREŽBI,,"Točenje pijač za točilnim pultom. Delo se opravlja predvsem ob sobotah in nedeljah v dveh izmenah. Pogoji: starost nad 18 let, prijaznost, dobrovoljnost, zmožnost timskega dela. Izkušnje so zaželene, niso pa pogoj.","5,30 €/h neto"
RAČUNOVODSKA DELA,GROSUPLJE, 1 , Dopoldan, začasno in občasno delo, 305111 , DLJE ČASA (OBČASNO) ,RAČUNOVODSKA DELA,,"V ekipo vabijo študenta/tko za administrativna dela v oddelku Finance (priprava podatkov za knjiženje poslovnih dogodkov, knjiženje v SAP, sodelovanje pri pripravi poročil in delovnih navodil, urejanje dokumentov). Pričakovane lastnosti: natančnost, zanesljivost, znanje angleščine. Prednost imajo absolventi/ke ekonomske smeri. Prijavo in CV pošlji na e-naslov (pripis Administrativna dela-Finance).","4,39 €/h neto"
POMOČ PRI PRODAJI,LJUBLJANA BTC, 10 , Izmensko, začasno in občasno delo, 305105 , DLJE ČASA (OBČASNO) ,POMOČ PRI PRODAJI,,"Pomoč pri prodaji na različnih oddelkih trgovine. Polnoletnost ni pogoj. Delo ne zajema dela na blagajni. Delo poteka izmensko, med tednom in vikendi. Če te veseli delo z ljudmi pošlji prijavo s pripisom ZARA BTC in obvezno pripiši kontaktno številko na e-mail.","4,23 €/h neto"
POMOČ PRI PRODAJI,LJUBLJANA BTC, 1 , Izmensko, začasno in občasno delo, 305102 , DLJE ČASA (OBČASNO) ,POMOČ PRI PRODAJI,,"Prodaja azijske hrane/produktov. Pogoji: ljubitelj ali poznavalec azijske hrane, znanje angleščine, osnovno znanje uporabe računalnika in izkušnje v prodaji. Kličite samo tisti, ki lahko delate dlje časa.","5,00 €/h neto"
DIGITALNI MARKETING,LJUBLJANA, 1 , Dopoldan, začasno in občasno delo, 305100 , DLJE ČASA (OBČASNO) ,DIGITALNI MARKETING,,Mlada agilna ekipa išče pomoč pri marketingu in prodaji. Potrebna znanja: smisel za pisanje člankov; poznavanje Google AD words in Facebook ads; dobro poznavanje angleškega jezika; dobro poznavanje MS Office. Želena znanja: izkušnje z Wordpress CMS-jem in popularnimi plug-ini; izkušnje z različnimi CRM-ji in email marketing orodji. Delo obsega: raziskava slovenskega in tujih trgov; email marketing; skrb za spletne strani - CMS; skrb za družabna omrežja - PR; pisanje člankov; lead generation.,PO DOGOVORU
STREŽBA HRANE IN PIJAČE,GROSUPLJE, 3 , Izmensko, začasno in občasno delo, 305085 , DLJE ČASA (OBČASNO) ,STREŽBA HRANE IN PIJAČE,,Potrebujejo polnoletno osebo za delo v strežbi. Zaželene so izkušnje v strežbi in delo s strankami. Fleksibilen delovni čas in stimulacija  za dobro opravljeno delo. Možnost zaposlitve.,"5,49 €/h neto"
STREŽBA,VELESOVO, 2 , Po dogovoru, začasno in občasno delo, 305082 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Veselje do dela, komunikativnost, urejenost. Pogoj je starost nad 18 let.","5,00 €/h neto"
POMOČ V STREŽBI,ČRNUČE, 1 , dopoldan, začasno in občasno delo, 305079 , PO DOGOVORU ,POMOČ V STREŽBI,,Občasna pomoč pri postrežbi malic zaposlenim v upravi in skladišču od ponedeljka do petka. Delo poteka od cca 10.30 do 13.30 ure. Zaželen lasten prevoz.,"6,00 €/h neto"
MONTAŽA,NA TERENU, 1 , Dopoldan, začasno in občasno delo, 305077 , DLJE ČASA (OBČASNO) ,MONTAŽA,DELO NA TERENU,Podjetje potrebuje osebo za pomoč pri montaži protivlomnih vrat.,"6,00 €/h neto"
MIZARSKA DELA,LJUBLJANA, 1 , Po dogovoru, začasno in občasno delo, 305074 , 1 MESEC ,MIZARSKA DELA,,"Delo v mizarski delavnici in na terenu. Pogoji: polnoletnost, ročna spretnost in fizična moč. Zaželene izkušnje pri podobnih delih.","5,49 €/h neto"
DIGITALNI MARKETING,GORNJA RADGONA, 1 , Po dogovoru, začasno in občasno delo, 305051 , PO DOGOVORU ,DIGITALNI MARKETING,,"Potrebujejo študenta/ko za Facebook in Google oglaševanje, ki bo s svojo zagnanostjo in voljo do učenja pomagal/a izvajati projekte s področja digitalnega oglaševanja. Pogoj: osnovno poznavanje Facebook in/ali Google oglaševanja. Delo poteka po dogovoru glede na vaš razpoložljiv čas.","5,00 €/h neto"
RAČUNOVODSKA DELA,LJUBLJANA, 1 , Dopoldan, začasno in občasno delo, 305047 , PO DOGOVORU ,RAČUNOVODSKA DELA,ZAHTEVNA ADMINISTRATIVNA DELA,"Podjetje išče študenta/študentko višjega letnika oz. absolventa za opravljanje zahtevnih administrativnih del v računovodstvu (kasneje tudi knjigovodskih del). Oseba mora biti odgovorna, natančna, zanesljiva, pripravljena na učenje in sodelovanje v skupini. Ostali pogoji: dobro poznavanje MS Office, Outlooka in angleškega jezika. Prednost imajo študentje z delovnimi izkušnjami v računovodstvu. Delo poteka za daljše obdobje z možnostjo kasnejše zaposlitve.","5,07 €/h neto"
PROMOCIJA,PRIMORSKA, 5 , Po dogovoru, začasno in občasno delo, 305043 , DLJE ČASA (OBČASNO) ,PROMOCIJA,,"Iščejo osebe za promocije in svetovanje o prehrani hišnih ljubljenčkov. Pogoji: komunikativnost, veselje do dela z ljudmi in ljubitelj/ica živali. Zaželene so izkušnje s promocijami in podobno vrsto dela ter smer študija prehrana ali veterinarstvo. Urnik dela je po dogovoru. Interesenti naj med 8. in 16. uro pokličejo na kontakt podjetja.","4,50 €/h neto"
PROMOCIJA,JESENICE, 5 , Po dogovoru, začasno in občasno delo, 305042 ," DLJE ČASA (OBČASNO), PO POTREBI ",PROMOCIJA,,"Iščejo osebe za promocije in svetovanje o prehrani hišnih ljubljenčkov. Pogoji: komunikativnost, veselje do dela z ljudmi in ljubitelj/ica živali. Zaželene so izkušnje s promocijami in podobno vrsto dela. Zaželena je smer študija prehrana ali veterinarstvo. Urnik dela je po dogovoru. Interesenti naj med 8. in 16. uro pokličejo na kontakt podjetja.","4,50 €/h neto"
STREŽBA HRANE IN PIJAČE,VELIKE BLOKE, 1 , Med vikendom, začasno in občasno delo, 305041 , DLJE ČASA (OBČASNO) ,STREŽBA HRANE IN PIJAČE,,"Podjetje potrebuje študente/ke za strežbo malic, kosil in pijače, vzdrževanje reda ter čistoče na delovnem mestu. Možnost nastanitve, saj imajo tudi prenočišča.","6,00 €/h neto"
STREŽBA,MOZIRJE, 1 , Po dogovoru, začasno in občasno delo, 305028 ," DLJE ČASA (OBČASNO), PO POTREBI ",STREŽBA,,"Podjetje potrebuje polnoletno, vestno in zanesljivo osebo za strežbo v urejenem lokalu. Izkušnje niso potrebne. Delovnik je po dogovoru in potrebi. Interesenti naj pokličejo ali pošljejo vlogo na kontakt podjetja.","4,50 €/h neto"
STREŽBA,KRANJ, 3 , Popoldan, začasno in občasno delo, 305027 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Te veseli delo v strežbi? Če je odgovor da, potem se pridruži prijetnemu kolektivu. Nudijo redno plačilo in stimulativno nagrajevanje. Pogoj je starost nad 18 let.","5,00 €/h neto"
DELO NA BENCINSKEM SERVISU,LIPICA, 1 , Med vikendom, začasno in občasno delo, 305026 , DLJE ČASA (OB VIKENDIH) ,DELO NA BENCINSKEM SERVISU,,"Pomoč na bencinskem servisu (prodaja in skrb za polnjene polic). Pogoj je starost nad 18 let. Nekatere stranke govorijo italijansko, zato je potrebno  znati oz. se naučiti nekaj osnovnih besednih zvez (številke, hvala, nasvidenje ipd).","4,80 €/h neto"
ADMINISTRATIVNA DELA,CESTA NA BRDO 28, 1 , dopoldan, začasno in občasno delo, 305019 , DLJE ČASA (OBČASNO) ,ADMINISTRATIVNA DELA,,"Iščejo vrhunsko projektno asistentko ali asistenta za pomoč pri koordinaciji priprave dokumentacije za prijave na razpise in komunikacijo s strankami. Delo je timsko in raznoliko. Delovni čas je fleksibilen. Zaželena samoiniciativna, komunikativna oseba z željo po učenju novih znanj. Obvezni sta visoka pismenost (tudi računalniška), organiziranost in zanesljivost.","6,76 €/h neto"
PROMOCIJA,KOPER, 1 , Po dogovoru, začasno in občasno delo, 305017 , DLJE ČASA (OBČASNO) ,PROMOCIJA,DEGUSTACIJE,Podjetje išče osebo za degustacijo kruha v nakupovalnih centrih. Pogoja: starost nad 18 let in izpit B kategorije. Prednost imajo resni/e in odgovorni/e kandidati/ke.,"5,07 €/h neto"
PRODAJA,KAMNIK, 1 , Izmensko, začasno in občasno delo, 305012 , DLJE ČASA (OBČASNO) ,PRODAJA,,"Podjetje potrebuje polnoletno osebo za pomoč pri prodaji. Delo zajema svetovanje strankam, prodajo, delo z zalogami in blagajno, pripravo ponudb in pogodb, urejanje trgovine ter ostala dela v trgovini. Prednost imajo člani z izkušnjami na področju prodaje in lastnim prevozom.","4,13 €/h neto"
DELO S STRANKAMI,STARI TRG PRI LOŽU, 1 , Po dogovoru, začasno in občasno delo, 305007 , DLJE ČASA (OBČASNO) ,DELO S STRANKAMI,VODNIK PO MUZEJU,"Vodnik po muzeju in ostala pomožna dela. Pogoji: zanesljivost, komunikativnost, veselje do dela z ljudmi in znanje angleškega jezika. Urna postavka je od 4,89 do 9 € bruto (4,13 do 7,61 € neto), odvisno od zadolžitve.","4,13 €/h neto"
POMOČ PRI PRODAJI,LJUBLJANA CENTER, 1 , Po dogovoru, začasno in občasno delo, 305005 , PO DOGOVORU ,POMOČ PRI PRODAJI,,Prodaja pekovskih izdelkov in slaščic. Pričakujejo resnost pri delu in veselje do dela s strankami. Nočno delo. Pogoj je starost nad 18 let.,"5,50 €/h neto"
LAŽJA FIZIČNA DELA,LJUBLJANA, 2 , Izmensko, začasno in občasno delo, 305003 , DLJE ČASA (OBČASNO) ,LAŽJA FIZIČNA DELA,POSPRAVLJANJE VOZIČKOV,Za lažja fizična dela-pospravljanje vozičkov potrebujejo dve osebi.,"4,30 €/h neto"
POMOČ PRI PRODAJI,LJUBLJANA BTC, 5 , Po dogovoru, začasno in občasno delo, 304999 , DLJE ČASA (OBČASNO) ,POMOČ PRI PRODAJI,,"Podjetje išče kandidate za delo v trgovini z modnimi oblačili. Če te veseli dinamično delo s strankami, pošlji prijavo s svojo telefonsko številko na e-naslov in obvezno pripiši: za Stradivarius BTC. Polnoletnost ni pogoj.","4,22 €/h neto"
PAKIRANJE,MARIBOR, 4 , Po dogovoru, začasno in občasno delo, 304998 , PO DOGOVORU ,PAKIRANJE,,Ročno pakiranje zdravil. Pričetek dela je takoj. Pogoj je starost nad 18 let.,"4,13 €/h neto"
STREŽBA,PODPLAT (OKOLICA ROGAŠKE SLATINE), 1 , Izmensko, začasno in občasno delo, 304993 ," DLJE ČASA (OBČASNO), PO DOGOVORU ",STREŽBA,,"Podjetje potrebuje polnoletno, komunikativno vestno in zanesljivo osebo za delo v strežbi. Delovni čas je po dogovoru in potrebi. Interesenti naj pokličejo ali pošljejo vlogo na kontakt podjetja.","5,00 €/h neto"
STREŽBA,GROSUPLJE, 1 , Izmensko, začasno in občasno delo, 304992 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Potrebujejo polnoletno osebo za strežbo v kavarni. Pogoji: osebna urejenost, komunikativnost, prijaznost. Izkušnje niso pogoj.","5,92 €/h neto"
STREŽBA,LAVRICA, 2 , Po dogovoru, začasno in občasno delo, 304988 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Pogoji: izkušnje v strežbi, urejenost, zanesljivost, odgovornost in prijaznost.","6,00 €/h neto"
DELO V KUHINJI,MARIBOR, 1 , Dopoldan, začasno in občasno delo, 304983 , DLJE ČASA (OBČASNO) ,DELO V KUHINJI,,"Delo v kuhinji. Pogoji: čistost, urejenost, in pridnost.","5,07 €/h neto"
POMOČ PRI PRODAJI,SLOVENSKA BISTRICA, 1 , Izmensko, začasno in občasno delo, 304980 , DLJE ČASA (OBČASNO) ,POMOČ PRI PRODAJI,,"Trgovec s tehničnim blagom vabi polnoletno osebo, da se pridruži ekipi za pomoč pri prodaji. Delo v prodaji ponuja priložnost, da se iz prodajalca oblikuje strokovnjak za prodajo. Izkušnje so zaželene, ne pa nujne. Pomembni sta volja in navdušenje. Če ti je tehnika blizu, hkrati pa bi se preiskusil-a na blagajni, se oglasi. Morda si pravi-a. Plačilo je fiksno plus stimulacija. Prijave sprejemajo na e-mail.","4,13 €/h neto"
DELO NA BENCINSKEM SERVISU,TEPANJE, 4 , Izmensko, začasno in občasno delo, 304978 , DLJE ČASA (OBČASNO) ,DELO NA BENCINSKEM SERVISU,,"Delo na prodajnem mestu na avtocestnem počivališču Tepanje vzhod. Nočna urna postavka je 6,15 € bruto. Pogoji: prijaznost, nasmejanost, odgovornost in zainteresiranost za delo na prodajnem mestu, v dopoldanskem, popoldanskem in nočnem času ter čez vikende.","4,80 €/h neto"
STREŽBA,LJUBLJANA, 1 , Po dogovoru, začasno in občasno delo, 304971 , DLJE ČASA (OBČASNO) ,STREŽBA,,Podjetje išče sodelavca/ko z izkušnjami v gostinstvu.,"6,50 €/h neto"
ANIMATOR,LJUBLJANA, 1 , Popoldan, začasno in občasno delo, 304961 , DLJE ČASA (OBČASNO) ,ANIMATOR,,"Iščejo osebo, ki zna kuhati in animirati. Predvsem osebo, ki jo kulinarika zelo zanima in se po možnosti  v prostem času tudi z njo ukvarja. Obvezno je tekoče znanje angleškega jezika, znanje ostalih tujih jezikov je tudi prednost. Pričakujejo samostojno, fleksibilno in odgovorno osebo s smislom za humor.","9,00 €/h neto"
PROMOCIJA,LJUBLJANA IN OKOLICA, 1 , Dopoldan, začasno in občasno delo, 304959 , DLJE ČASA (OBČASNO) ,PROMOCIJA,,"Podjetje išče zanesljivo osebo za pospeševanje, informiranje in promocijo prehranskih dopolnil. Pogoj: študent/ka ali absolvent/ka farmacije, lahko tudi farmacevtski tehnik oziroma naravoslovne smeri študija. Prijave z izkušnjami sprejemajo na e-mail.","4,23 €/h neto"
PREVAJANJE,CELJE, 1 , Po dogovoru, začasno in občasno delo, 304957 , PO DOGOVORU ,PREVAJANJE,,"Išče se oseba za prevajanje iz/v angleščino in/ali nemščino. Gradivo so navodila za uporabo in katalogi kmetijskih strojev. Obvezno je poznavanje besedišča strojev in njihovih sestavnih delov oz. kakšno drugo strojno znanje tujega jezika ter uporaba programov za oblikovanje in urejanje besedil (pdf,doc). Interesenti naj pokličejo ali pošljejo vlogo na kontakt podjetja.","5,00 €/h neto"
STREŽBA,KRANJ, 1 , Po dogovoru, začasno in občasno delo, 304956 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Potrebujejo samoiniciativne, zanesljive osebe za delo v kavarni v trgovskem centru. Obvezne so izkušnje in razpoložljivost. Možnost dolgoročnega sodelovanja. Potrebujejo predvsem za vikende. Za razgovor pokličite.","7,00 €/h neto"
DELO V AVTOPRALNICI,DOMŽALE, 1 , Po dogovoru, začasno in občasno delo, 304950 , DLJE ČASA (OBČASNO) ,DELO V AVTOPRALNICI,,"Pranje v avtomatski avtopralnici, notranje čiščenje vozil in priprava na pranje. Delo ob vikendih po potrebi. Pogoj izpit B kategorije. Možnost kasnejše redne zaposlitve.","5,49 €/h neto"
DELO NA BENCINSKEM SERVISU,DOMŽALE, 2 , Med vikendom, začasno in občasno delo, 304941 , DLJE ČASA (OBČASNO) ,DELO NA BENCINSKEM SERVISU,,"Potrebujejo študenta/ študentko za občasno pomoč na bencinskem servisu. Znanja ne potrebujete, vse vas naučijo, imejte samo voljo, smisel za prodajo, komunikacijo, urejenost, skrb za čistočo, delo v teamu,...","5,20 €/h neto"
DELO V KUHINJI,LJUBLJANA, 3 , Izmensko, začasno in občasno delo, 304940 , PO DOGOVORU ,DELO V KUHINJI,,Pomoč pri pomivanju posode v pomivalnici. Delo poteka v dveh izmenah (dopoldan od 7.20 ure dalje in popoldan od 15. ure dalje).,"4,13 €/h neto"
DELO V KUHINJI,PTUJ, 1 , Po dogovoru, začasno in občasno delo, 304934 , DLJE ČASA (OBČASNO) ,DELO V KUHINJI,,"Podjetje potrebuje polnoletno osebo za peko hamburgerjev in ostalo pomoč v kuhinji v na novo odprtem lokalu s hitro prehrano v centru Ptuja. Pogoj je čistoča in nekaj izkušenj. Okrepčevalnica je čez teden odprta od 7. do 23. ure, v petek in soboto do 4. ure zjutraj. Dela se po potrebi in dogovoru. Ob urni postavki obljubljajo tudi stimulacijo. Za prijavo pokličite na kontaktno številko.","4,22 €/h neto"
STREŽBA,MARIBOR, 2 , Po dogovoru, začasno in občasno delo, 304930 , DLJE ČASA (OBČASNO) ,STREŽBA,,Podjetje potrebuje dve osebi za strežbo v restavraciji. Zaželene so izkušnje v strežbi.,"5,00 €/h neto"
RAZVOZ,LJUBLJANA, 5 , Izmensko, začasno in občasno delo, 304922 , DLJE ČASA (OBČASNO) ,RAZVOZ,,"Mednarodna znamka nove generacije, ki hitro raste, išče zaposlene ki si želijo uspešne kariere. Iščejo prijazne, zanesljive, odgovorne in motivirane zaposlene za delo dostavljalca z možnostjo napredovanja do managerja izmene. Urna postavka je 6,51 € bruto, v nadaljevanju pa do 7,10 € bruto.Brezplačna malica.Pogoj je starost nad 18 let.  Pričetek dela takoj.","5,50 €/h neto"
DELO V KUHINJI,LJUBLJANA, 5 , Izmensko, začasno in občasno delo, 304921 , DLJE ČASA (OBČASNO) ,DELO V KUHINJI,,"Mednarodna znamka nove generacije, ki hitro raste, išče zaposlene ki si želijo uspešne kariere. Iščejo prijazne, zanesljive, odgovorne in motivirane osebe za delo v kuhinji ter z možnostjo napredovanja v picopeka ter managerja izmene. Izkušnje niso pomembne, pomembno je, da ste delovni in znanja željni. Uvajalna urna postavka je 6,51 € bruto, v nadaljevanju pa do 7,10 € bruto.","5,50 €/h neto"
TRŽENJE,TRZIN, 1 , Dopoldan, začasno in občasno delo, 304919 ," DLJE ČASA, MOŽNOST ZAPOSLITVE ",TRŽENJE,,"Uspešna digitalna agencija, s svetovno nagrajeno inovacijo, išče asistenta/ko za trženje spletnih strani. V kolektiv sprejmejo soborca, ki se bo znal spoprijeti z izzivi, je iznajdljiv, samostojen, ima željo po učenju in preseganju meja. Delo vključuje: trženje spletnih strani, organizacijo prodajnih sestankov, pripravo ponudb in komunikacijo s strankami. Nudijo delo v mladem sproščenem delovnem okolju, možnost napredovanja, dobro, stimulativno plačilo, nove izzive, možnost kasnejše zaposlitve.",PO DOGOVORU
NEGOVANJE,KRANJ IN ŠENČUR Z OKOLICO, 2 , Izmensko, začasno in občasno delo, 304911 , DLJE ČASA (OBČASNO) ,NEGOVANJE,SOCIALNA OSKRBA,"SOCIALNA OSKRBA na terenu, prevoz s službenim vozilom. Pogoji: ustrezna izobrazba (bolničar ali zdravstveni tehnik, medicinska sestra, diplomirana med.sestra) ali  NPK (socialni oskrbnik). Ostali pogoji: izpit B kategorije vsaj 1 leto ter veselje do dela z ljudmi. Prijave pošljite na e-naslov.","5,15 €/h neto"
STREŽBA,SEŽANA, 1 , Po dogovoru, začasno in občasno delo, 304909 , PO DOGOVORU ,STREŽBA,,Strežba v lokalu v Sežani. Možen dogovor glede dela - lahko med tednom ali samo vikendi. Plačilo glede na izkušnje in učinek.,PO DOGOVORU
STREŽBA,LJUBLJANA, 3 , Izmensko, začasno in občasno delo, 304907 , DLJE ČASA (OBČASNO) ,STREŽBA,,Podjetje išče osebe za delo v lokalu. Pogoj so izkušnje. Pripada vam tudi napitnina.,"5,70 €/h neto"
STREŽBA,LENART, 15 , Med vikendom, začasno in občasno delo, 304899 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Podjetje potrebuje večje število polnoletnih oseb za strežbo v diskoteki. Zaželene so izkušnje z nočnim gostinstvom. Diskoteka obratuje ob petkih in sobotah od 21. do 6. ure. Plačilo je od 8,28 € bruto/h dalje.","7,00 €/h neto"
STREŽBA,ŽIRI, 1 , Popoldan, začasno in občasno delo, 304894 , DLJE ČASA (OBČASNO) ,STREŽBA,,Potrebujejo osebo za strežbo hrane in pijače v popoldanske času ter med vikendi. Izkušnje niso pogoj. Pričetek dela je možen takoj.,"5,00 €/h neto"
